day,transformer,district,SAIFI
2023-10-02,455,Mampong,1.0194690265486726
2023-10-02,96,Achimota,0.0
2023-10-04,202,Dansoman,0.5026178010471204
2023-10-04,91,Achimota,1.0
2023-10-04,norc172,Dansoman,0.0
2023-10-05,405,Mampong,0.0
2023-10-05,87,Achimota,0.7441860465116279
2023-10-06,30,Achimota,0.0
2023-10-06,304,Kaneshie,0.0
2023-10-06,317,Kaneshie,0.0
2023-10-07,419,Mampong,0.0
2023-10-07,67,Achimota,0.3333333333333333
2023-10-10,90,Achimota,0.0
2023-10-11,224,Dansoman,0.0
2023-10-11,80,Achimota,0.0
2023-10-13,21,Achimota,0.0
2023-10-13,237,Dansoman,0.5
2023-10-13,61,Achimota,0.0
